,COUNTRY_ID,variable,value
291,MDG,1991,
292,,1991,0.34600000000000003
293,MYS,1991,0.652
294,MDV,1991,
295,,1991,0.23800000000000002
296,MLT,1991,0.745
297,MHL,1991,
298,,1991,0.379
299,MUS,1991,0.626
300,MEX,1991,0.654
301,,1991,
302,,1991,0.64
303,,1991,0.574
304,MNE,1991,
305,,1991,0.46399999999999997
306,MOZ,1991,0.212
307,MMR,1991,0.366
308,,1991,0.5820000000000001
309,NPL,1991,0.386
310,NLD,1991,0.8340000000000001
311,NZL,1991,0.82
312,NIC,1991,0.498
313,,1991,0.214
314,NGA,1991,
315,,1991,0.856
316,,1991,
317,PAK,1991,0.409
318,,1991,
319,,1991,
320,PAN,1991,0.665
321,GIN,1991,0.38799999999999996
322,PRY,1991,0.585
323,PER,1991,0.617
324,PHL,1991,0.5870000000000001
325,,1991,0.711
326,,1991,0.72
327,,1991,0.7509999999999999
328,ROU,1991,0.6859999999999999
329,RUS,1991,0.7290000000000001
330,,1991,0.22699999999999998
331,KNA,1991,
332,LCA,1991,
333,VCT,1991,
334,WSM,1991,0.622
335,,1991,0.455
336,SAU,1991,0.706
337,SEN,1991,0.36700000000000005
338,SRB,1991,0.715
339,SYC,1991,
340,SLE,1991,0.267
341,SGP,1991,0.7290000000000001
342,SVK,1991,0.7340000000000001
343,SVN,1991,0.765
344,SLB,1991,
345,ZAF,1991,0.626
346,SDN,1991,
347,ESP,1991,0.764
348,LKA,1991,0.63
349,SDN,1991,0.336
350,SUR,1991,
351,,1991,0.818
352,CHE,1991,0.8340000000000001
353,,1991,0.562
354,,1991,0.618
355,,1991,0.371
356,THA,1991,0.583
357,,1991,
358,TLS,1991,
359,,1991,0.408
360,TON,1991,0.654
361,TTO,1991,0.6729999999999999
362,,1991,0.575
363,TUR,1991,0.583
364,,1991,
365,UGA,1991,0.311
366,,1991,0.701
367,,1991,0.738
368,,1991,0.7879999999999999
369,,1991,0.861
370,URY,1991,0.6970000000000001
371,,1991,
372,VUT,1991,
373,VEN,1991,0.644
374,VNM,1991,0.484
375,YEM,1991,0.40299999999999997
376,ZMB,1991,0.402
377,ZWE,1991,0.494
378,AFG,1992,
379,ALB,1992,0.61
380,DZA,1992,0.5870000000000001
381,,1992,
382,AGO,1992,
383,ATG,1992,
384,ARG,1992,0.72
385,,1992,0.58
386,AUS,1992,0.868
387,AUT,1992,0.805
388,,1992,
389,BHS,1992,
390,,1992,0.757
391,BGD,1992,0.402
392,BRB,1992,0.718
393,,1992,
394,BEL,1992,0.825
395,BLZ,1992,0.657
396,BEN,1992,0.358
397,BTN,1992,
398,BOL,1992,0.55
399,BIH,1992,
400,,1992,0.5870000000000001
401,BRA,1992,0.622
402,BRN,1992,0.792
403,BGR,1992,0.691
404,BFA,1992,
405,,1992,0.297
406,,1992,
407,KHM,1992,0.373
408,CMR,1992,0.43200000000000005
409,CAN,1992,0.856
410,CAF,1992,0.299
411,,1992,
412,,1992,0.7190000000000001
413,CHN,1992,0.521
414,COL,1992,0.606
415,COM,1992,
416,COG,1992,0.535
417,COG,1992,
418,CRI,1992,0.67
419,HRV,1992,0.664
420,CUB,1992,0.6629999999999999
421,,1992,0.74
422,,1992,0.728
423,CIV,1992,0.387
424,,1992,0.809
425,DJI,1992,
426,DMA,1992,
427,DOM,1992,0.612
428,,1992,0.65
429,,1992,0.557
430,SLV,1992,0.546
431,GIN,1992,
432,,1992,
433,,1992,0.7190000000000001
434,,1992,0.536
435,,1992,
436,FJI,1992,0.655
437,,1992,0.795
438,FRA,1992,0.7979999999999999
439,GAB,1992,0.624
440,GMB,1992,0.342
441,GEO,1992,
442,DEU,1992,0.8140000000000001
443,GHA,1992,0.46399999999999997
444,GRC,1992,0.764
445,GRD,1992,
446,GTM,1992,0.49
447,GIN,1992,0.28300000000000003
448,GIN,1992,
449,GUY,1992,0.5479999999999999
450,HTI,1992,0.406
451,HND,1992,0.513
452,HKG,1992,0.7909999999999999
453,,1992,
454,,1992,0.818
455,IND,1992,0.43799999999999994
456,IDN,1992,0.539
457,,1992,0.608
458,,1992,0.541
459,,1992,0.773
460,ISR,1992,0.807
461,ITA,1992,0.78
462,JAM,1992,0.645
463,JPN,1992,0.8240000000000001
464,,1992,0.648
465,,1992,
466,KEN,1992,0.46299999999999997
467,KIR,1992,
468,,1992,0.746
469,,1992,0.6659999999999999
470,,1992,0.601
471,LAO,1992,0.41100000000000003
472,,1992,0.6779999999999999
473,LBN,1992,
474,,1992,0.499
475,LBR,1992,
476,,1992,0.6920000000000001
477,,1992,
478,,1992,0.713
479,,1992,0.795
480,MDG,1992,
481,,1992,0.355
482,MYS,1992,0.66
483,MDV,1992,
484,,1992,0.243
485,MLT,1992,0.7490000000000001
486,MHL,1992,
487,,1992,0.387
488,MUS,1992,0.633
489,MEX,1992,0.6579999999999999
490,,1992,
491,,1992,0.62
492,,1992,0.561
493,MNE,1992,
494,,1992,0.46799999999999997
495,MOZ,1992,0.20800000000000002
496,MMR,1992,0.38
497,,1992,0.5870000000000001
498,NPL,1992,0.39399999999999996
499,NLD,1992,0.835
500,NZL,1992,0.825
501,NIC,1992,0.505
502,,1992,0.21600000000000003
503,NGA,1992,
504,,1992,0.862
505,,1992,
506,PAK,1992,0.414
507,,1992,
508,,1992,
509,PAN,1992,0.6729999999999999
510,GIN,1992,0.39799999999999996
511,PRY,1992,0.589
512,PER,1992,0.617
513,PHL,1992,0.589
514,,1992,0.7140000000000001
515,,1992,0.732
516,,1992,0.753
517,ROU,1992,0.6779999999999999
518,RUS,1992,0.718
519,,1992,0.213
520,KNA,1992,
521,LCA,1992,
522,VCT,1992,
523,WSM,1992,0.624
524,,1992,0.45799999999999996
525,SAU,1992,0.711
526,SEN,1992,0.368
527,SRB,1992,0.7020000000000001
528,SYC,1992,
529,SLE,1992,0.264
530,SGP,1992,0.74
531,SVK,1992,0.733
532,SVN,1992,0.7659999999999999
533,SLB,1992,
534,ZAF,1992,0.635
535,SDN,1992,
536,ESP,1992,0.772
537,LKA,1992,0.635
538,SDN,1992,0.345
539,SUR,1992,
540,,1992,0.821
541,CHE,1992,0.836
542,,1992,0.568
543,,1992,0.597
544,,1992,0.37
545,THA,1992,0.589
546,,1992,
547,TLS,1992,
548,,1992,0.39899999999999997
549,TON,1992,0.6559999999999999
550,TTO,1992,0.6729999999999999
551,,1992,0.583
552,TUR,1992,0.589
553,,1992,
554,UGA,1992,0.305
555,,1992,0.6920000000000001
556,,1992,0.742
557,,1992,0.8009999999999999
558,,1992,0.867
559,URY,1992,0.7
560,,1992,
561,VUT,1992,
562,VEN,1992,0.6509999999999999
563,VNM,1992,0.496
564,YEM,1992,0.405
565,ZMB,1992,0.40299999999999997
566,ZWE,1992,0.48100000000000004
567,AFG,1993,
568,ALB,1993,0.613
569,DZA,1993,0.591
570,,1993,
571,AGO,1993,
572,ATG,1993,
573,ARG,1993,0.725
574,,1993,0.588
575,AUS,1993,0.872
576,AUT,1993,0.807
577,,1993,
578,BHS,1993,
579,,1993,0.765
580,BGD,1993,0.409
581,BRB,1993,0.721
582,,1993,
583,BEL,1993,0.8390000000000001
584,BLZ,1993,0.6609999999999999
585,BEN,1993,0.365
586,BTN,1993,
587,BOL,1993,0.557
588,BIH,1993,
589,,1993,0.585
590,BRA,1993,0.63
591,BRN,1993,0.797
592,BGR,1993,0.69
593,BFA,1993,
594,,1993,0.299
595,,1993,
596,KHM,1993,0.377
597,CMR,1993,0.426
598,CAN,1993,0.8540000000000001
599,CAF,1993,0.299
600,,1993,
601,,1993,0.713
602,CHN,1993,0.531
603,COL,1993,0.612
604,COM,1993,
605,COG,1993,0.528
606,COG,1993,0.34
607,CRI,1993,0.677
608,HRV,1993,0.6659999999999999
609,CUB,1993,0.6559999999999999
610,,1993,0.777
611,,1993,0.735
612,CIV,1993,0.386
613,,1993,0.815
614,DJI,1993,
615,DMA,1993,
616,DOM,1993,0.618
617,,1993,0.654
618,,1993,0.562
619,SLV,1993,0.557
620,GIN,1993,
621,,1993,
622,,1993,0.7120000000000001
623,,1993,0.531
624,,1993,
625,FJI,1993,0.659
626,,1993,0.799
627,FRA,1993,0.804
628,GAB,1993,0.626
629,GMB,1993,0.34600000000000003
630,GEO,1993,
631,DEU,1993,0.8240000000000001
632,GHA,1993,0.46799999999999997
633,GRC,1993,0.762
634,GRD,1993,
635,GTM,1993,0.495
636,GIN,1993,0.287
637,GIN,1993,
638,GUY,1993,0.562
639,HTI,1993,0.414
640,HND,1993,0.521
641,HKG,1993,0.799
642,,1993,0.7190000000000001
643,,1993,0.818
644,IND,1993,0.445
645,IDN,1993,0.545
646,,1993,0.62
647,,1993,0.561
648,,1993,0.7809999999999999
649,ISR,1993,0.812
650,ITA,1993,0.7859999999999999
651,JAM,1993,0.653
652,JPN,1993,0.8290000000000001
653,,1993,0.659
654,,1993,0.675
655,KEN,1993,0.45799999999999996
656,KIR,1993,
657,,1993,0.7559999999999999
658,,1993,0.695
659,,1993,0.588
660,LAO,1993,0.41700000000000004
661,,1993,0.667
662,LBN,1993,
663,,1993,0.495
664,LBR,1993,
665,,1993,0.695
666,,1993,
667,,1993,0.701
668,,1993,0.799
669,MDG,1993,
670,,1993,0.363
671,MYS,1993,0.6679999999999999
672,MDV,1993,
673,,1993,0.249
674,MLT,1993,0.753
675,MHL,1993,
676,,1993,0.39899999999999997
677,MUS,1993,0.638
678,MEX,1993,0.6629999999999999
679,,1993,
680,,1993,0.618
681,,1993,0.547
682,MNE,1993,
683,,1993,0.474
684,MOZ,1993,0.214
685,MMR,1993,0.387
686,,1993,0.589
687,NPL,1993,0.39799999999999996
688,NLD,1993,0.8390000000000001
689,NZL,1993,0.836
690,NIC,1993,0.509
691,,1993,0.22
692,NGA,1993,
693,,1993,0.87
694,,1993,
695,PAK,1993,0.418
696,,1993,
697,,1993,
698,PAN,1993,0.68
699,GIN,1993,0.41
700,PRY,1993,0.596
701,PER,1993,0.622
702,PHL,1993,0.591
703,,1993,0.725
704,,1993,0.745
705,,1993,0.764
706,ROU,1993,0.6779999999999999
707,RUS,1993,0.71
708,,1993,0.209
709,KNA,1993,
710,LCA,1993,
711,VCT,1993,
712,WSM,1993,0.63
713,,1993,0.462
714,SAU,1993,0.7140000000000001
715,SEN,1993,0.36700000000000005
716,SRB,1993,0.685
717,SYC,1993,
718,SLE,1993,0.26899999999999996
719,SGP,1993,0.7509999999999999
720,SVK,1993,0.737
721,SVN,1993,0.769
722,SLB,1993,
723,ZAF,1993,0.6409999999999999
724,SDN,1993,
725,ESP,1993,0.782
726,LKA,1993,0.637
727,SDN,1993,0.35200000000000004
728,SUR,1993,
729,,1993,0.84
730,CHE,1993,0.841
731,,1993,0.5710000000000001
732,,1993,0.579
733,,1993,0.37
734,THA,1993,0.597
735,,1993,
736,TLS,1993,
737,,1993,0.39
738,TON,1993,0.66
739,TTO,1993,0.675
740,,1993,0.589
741,TUR,1993,0.597
742,,1993,
743,UGA,1993,0.312
744,,1993,0.6809999999999999
745,,1993,0.748
746,,1993,0.8140000000000001
747,,1993,0.871
748,URY,1993,0.703
749,,1993,
750,VUT,1993,
751,VEN,1993,0.653
752,VNM,1993,0.506
753,YEM,1993,0.408
754,ZMB,1993,0.409
755,ZWE,1993,0.47600000000000003
756,AFG,1994,
757,ALB,1994,0.619
758,DZA,1994,0.595
759,,1994,
760,AGO,1994,
761,ATG,1994,
762,ARG,1994,0.728
763,,1994,0.599
764,AUS,1994,0.875
765,AUT,1994,0.813
766,,1994,
767,BHS,1994,
768,,1994,0.769
769,BGD,1994,0.41700000000000004
770,BRB,1994,0.727
771,,1994,
772,BEL,1994,0.845
773,BLZ,1994,0.6609999999999999
774,BEN,1994,0.368
775,BTN,1994,
776,BOL,1994,0.564
777,BIH,1994,
778,,1994,0.575
779,BRA,1994,0.64
780,BRN,1994,0.8009999999999999
781,BGR,1994,0.691
782,BFA,1994,
783,,1994,0.298
784,,1994,
785,KHM,1994,0.38
786,CMR,1994,0.423
787,CAN,1994,0.8590000000000001
788,CAF,1994,0.301
789,,1994,
790,,1994,0.718
791,CHN,1994,0.541
792,COL,1994,0.619
793,COM,1994,
794,COG,1994,0.524
795,COG,1994,0.33399999999999996
796,CRI,1994,0.682
797,HRV,1994,0.68
798,CUB,1994,0.652
799,,1994,0.7809999999999999
800,,1994,0.7440000000000001
801,CIV,1994,0.386
802,,1994,0.8240000000000001
803,DJI,1994,
804,DMA,1994,
805,DOM,1994,0.623
806,,1994,0.6579999999999999
807,,1994,0.569
808,SLV,1994,0.5670000000000001
809,GIN,1994,
810,,1994,
811,,1994,0.716
812,,1994,0.524
813,,1994,
814,FJI,1994,0.6659999999999999
815,,1994,0.809
816,FRA,1994,0.818
817,GAB,1994,0.63
818,GMB,1994,0.349
819,GEO,1994,
820,DEU,1994,0.8290000000000001
821,GHA,1994,0.47
822,GRC,1994,0.7659999999999999
823,GRD,1994,
824,GTM,1994,0.5
825,GIN,1994,0.29100000000000004
826,GIN,1994,
827,GUY,1994,0.5720000000000001
828,HTI,1994,0.41700000000000004
829,HND,1994,0.524
830,HKG,1994,0.804
831,,1994,0.733
832,,1994,0.823
833,IND,1994,0.452
834,IDN,1994,0.555
835,,1994,0.629
836,,1994,0.561
837,,1994,0.789
838,ISR,1994,0.818
839,ITA,1994,0.794
840,JAM,1994,0.655
841,JPN,1994,0.835
842,,1994,0.67
843,,1994,0.667
844,KEN,1994,0.457
845,KIR,1994,
846,,1994,0.767
847,,1994,0.721
848,,1994,0.569
849,LAO,1994,0.426
850,,1994,0.6679999999999999
851,LBN,1994,
852,,1994,0.495
853,LBR,1994,
854,,1994,0.7
855,,1994,
856,,1994,0.6970000000000001
857,,1994,0.8029999999999999
858,MDG,1994,
859,,1994,0.364
860,MYS,1994,0.675
861,MDV,1994,
862,,1994,0.256
863,MLT,1994,0.7559999999999999
864,MHL,1994,
865,,1994,0.41100000000000003
866,MUS,1994,0.643
867,MEX,1994,0.67
868,,1994,
869,,1994,0.595
870,,1994,0.55
871,MNE,1994,
872,,1994,0.485
873,MOZ,1994,0.221
874,MMR,1994,0.39299999999999996
875,,1994,0.591
876,NPL,1994,0.405
877,NLD,1994,0.8640000000000001
878,NZL,1994,0.845
879,NIC,1994,0.514
880,,1994,0.22399999999999998
881,NGA,1994,
882,,1994,0.885
883,,1994,
884,PAK,1994,0.423
885,,1994,
886,,1994,
887,PAN,1994,0.684
888,GIN,1994,0.41700000000000004
889,PRY,1994,0.6
890,PER,1994,0.633
891,PHL,1994,0.595
892,,1994,0.7340000000000001
893,,1994,0.753
894,,1994,0.775
895,ROU,1994,0.6809999999999999
896,RUS,1994,0.7020000000000001
897,,1994,0.19899999999999998
898,KNA,1994,
899,LCA,1994,
900,VCT,1994,
901,WSM,1994,0.611
902,,1994,0.466
903,SAU,1994,0.718
904,SEN,1994,0.366
905,SRB,1994,0.6890000000000001
906,SYC,1994,
907,SLE,1994,0.271
908,SGP,1994,0.763
909,SVK,1994,0.743
910,SVN,1994,0.775
911,SLB,1994,
912,ZAF,1994,0.645
913,SDN,1994,
914,ESP,1994,0.7909999999999999
915,LKA,1994,0.6459999999999999
916,SDN,1994,0.359
917,SUR,1994,
918,,1994,0.8490000000000001
919,CHE,1994,0.8440000000000001
920,,1994,0.5760000000000001
921,,1994,0.5579999999999999
922,,1994,0.369
923,THA,1994,0.604
924,,1994,
925,TLS,1994,
926,,1994,0.396
927,TON,1994,0.6679999999999999
928,TTO,1994,0.679
929,,1994,0.6
930,TUR,1994,0.599
931,,1994,
932,UGA,1994,0.315
933,,1994,0.6679999999999999
934,,1994,0.7559999999999999
935,,1994,0.8270000000000001
936,,1994,0.875
937,URY,1994,0.7090000000000001
938,,1994,
939,VUT,1994,
940,VEN,1994,0.654
941,VNM,1994,0.517
942,YEM,1994,0.409
943,ZMB,1994,0.408
944,ZWE,1994,0.473
945,AFG,1995,
946,ALB,1995,0.632
947,DZA,1995,0.6
948,,1995,
949,AGO,1995,
950,ATG,1995,
951,ARG,1995,0.731
952,,1995,0.605
953,AUS,1995,0.883
954,AUT,1995,0.8170000000000001
955,,1995,0.612
956,BHS,1995,
957,,1995,0.775
958,BGD,1995,0.425
959,BRB,1995,0.731
960,,1995,0.657
961,BEL,1995,0.852
962,BLZ,1995,0.662
963,BEN,1995,0.373
964,BTN,1995,
965,BOL,1995,0.5710000000000001
966,BIH,1995,
967,,1995,0.5770000000000001
968,BRA,1995,0.648
969,BRN,1995,0.805
970,BGR,1995,0.696
971,BFA,1995,
972,,1995,0.29600000000000004
973,,1995,
974,KHM,1995,0.387
975,CMR,1995,0.42200000000000004
976,CAN,1995,0.861
977,CAF,1995,0.303
978,,1995,
979,,1995,0.727
980,CHN,1995,0.55
981,COL,1995,0.625
982,COM,1995,
983,COG,1995,0.507
984,COG,1995,0.33299999999999996
985,CRI,1995,0.687
986,HRV,1995,0.696
987,CUB,1995,0.654
988,,1995,0.7859999999999999
989,,1995,0.753
990,CIV,1995,0.387
991,,1995,0.831
992,DJI,1995,0.355
993,DMA,1995,
994,DOM,1995,0.629
995,,1995,0.662
996,,1995,0.5760000000000001
997,SLV,1995,0.5770000000000001
998,GIN,1995,
999,,1995,
1000,,1995,0.727
1001,,1995,0.52
1002,,1995,
1003,FJI,1995,0.6729999999999999
1004,,1995,0.816
1005,FRA,1995,0.825
1006,GAB,1995,0.632
1007,GMB,1995,0.353
1008,GEO,1995,
1009,DEU,1995,0.8340000000000001
1010,GHA,1995,0.473
1011,GRC,1995,0.768
1012,GRD,1995,
1013,GTM,1995,0.507
1014,GIN,1995,0.295
1015,GIN,1995,
1016,GUY,1995,0.578
1017,HTI,1995,0.418
1018,HND,1995,0.529
1019,HKG,1995,0.8079999999999999
1020,,1995,0.741
1021,,1995,0.826
1022,IND,1995,0.46
1023,IDN,1995,0.564
1024,,1995,0.64
1025,,1995,0.5529999999999999
1026,,1995,0.795
1027,ISR,1995,0.823
1028,ITA,1995,0.8
1029,JAM,1995,0.657
1030,JPN,1995,0.84
1031,,1995,0.684
1032,,1995,0.664
1033,KEN,1995,0.456
1034,KIR,1995,
1035,,1995,0.778
1036,,1995,0.747
1037,,1995,0.563
1038,LAO,1995,0.428
1039,,1995,0.6729999999999999
1040,LBN,1995,
1041,,1995,0.49200000000000005
1042,LBR,1995,
1043,,1995,0.7040000000000001
1044,,1995,
1045,,1995,0.703
1046,,1995,0.8079999999999999
1047,MDG,1995,
1048,,1995,0.39799999999999996
1049,MYS,1995,0.6829999999999999
1050,MDV,1995,0.539
1051,,1995,0.262
1052,MLT,1995,0.759
1053,MHL,1995,
1054,,1995,0.418
1055,MUS,1995,0.648
1056,MEX,1995,0.669
1057,,1995,
1058,,1995,0.594
1059,,1995,0.555
1060,MNE,1995,
1061,,1995,0.489
1062,MOZ,1995,0.22899999999999998
1063,MMR,1995,0.39799999999999996
1064,,1995,0.588
1065,NPL,1995,0.41
1066,NLD,1995,0.861
1067,NZL,1995,0.851
1068,NIC,1995,0.524
1069,,1995,0.22899999999999998
1070,NGA,1995,
1071,,1995,0.883
1072,,1995,
1073,PAK,1995,0.428
1074,,1995,
1075,,1995,
1076,PAN,1995,0.688
1077,GIN,1995,0.425
1078,PRY,1995,0.606
1079,PER,1995,0.643
1080,PHL,1995,0.598
1081,,1995,0.74
1082,,1995,0.76
1083,,1995,0.784
1084,ROU,1995,0.687
1085,RUS,1995,0.7
1086,,1995,0.23399999999999999
1087,KNA,1995,
1088,LCA,1995,
1089,VCT,1995,
1090,WSM,1995,0.618
1091,,1995,0.469
1092,SAU,1995,0.722
1093,SEN,1995,0.368
1094,SRB,1995,0.695
1095,SYC,1995,
1096,SLE,1995,0.27399999999999997
1097,SGP,1995,0.773
1098,SVK,1995,0.7509999999999999
1099,SVN,1995,0.782
1100,SLB,1995,
1101,ZAF,1995,0.649
1102,SDN,1995,
1103,ESP,1995,0.8
1104,LKA,1995,0.65
1105,SDN,1995,0.366
1106,SUR,1995,
1107,,1995,0.856
1108,CHE,1995,0.848
1109,,1995,0.579
1110,,1995,0.55
1111,,1995,0.371
1112,THA,1995,0.611
1113,,1995,
1114,TLS,1995,
1115,,1995,0.409
1116,TON,1995,0.6709999999999999
1117,TTO,1995,0.6829999999999999
1118,,1995,0.607
1119,TUR,1995,0.607
1120,,1995,
1121,UGA,1995,0.321
1122,,1995,0.664
1123,,1995,0.764
1124,,1995,0.8390000000000001
1125,,1995,0.877
1126,URY,1995,0.711
1127,,1995,
1128,VUT,1995,
1129,VEN,1995,0.6579999999999999
1130,VNM,1995,0.529
1131,YEM,1995,0.415
1132,ZMB,1995,0.41200000000000003
1133,ZWE,1995,0.467
1134,AFG,1996,
1135,ALB,1996,0.6409999999999999
1136,DZA,1996,0.608
1137,,1996,
1138,AGO,1996,
1139,ATG,1996,
1140,ARG,1996,0.738
1141,,1996,0.612
